Date,Opp,Score,Type,Min,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,+/-,Pts
Mar 19,@TOR,W 128-123,Reg,44:41:00,15,26,57.7,2,7,28.6,4,7,57.1,4,5,9,7,3,0,2,2,-5,36
Mar 17,@MIN,L 104-124,Reg,37:04:00,8,21,38.1,1,8,12.5,2,5,40,0,5,5,4,5,1,2,5,-19,19
Mar 15,TOR,L 114-103,Reg,40:20:00,11,19,57.9,4,7,57.1,4,7,57.1,3,6,9,3,5,0,2,4,-21,30
Mar 14,@PHO,L 111-140,Reg,30:12:00,10,20,50,5,11,45.5,6,7,85.7,0,7,7,6,4,0,1,0,-16,31
Mar 12,WAS,W 109-122,Reg,35:42:00,18,25,72,6,9,66.7,8,8,100,0,7,7,6,3,0,1,3,22,50
Mar 10,@HOU,L 130-139,Reg,45:16:00,9,26,34.6,1,9,11.1,4,6,66.7,2,12,14,12,5,1,4,1,-17,23
Mar 6,GS,W 116-124,Reg,38:33:00,19,31,61.3,6,11,54.5,12,13,92.3,2,8,10,3,4,0,1,0,13,56
Mar 4,@LAC,L 111-132,Reg,37:04:00,8,18,44.4,2,9,22.2,8,10,80,1,7,8,4,4,0,1,2,-27,26
Mar 2,DAL,L 109-104,Reg,38:12:00,10,18,55.6,3,7,42.9,3,5,60,0,12,12,5,4,1,0,2,7,26
Feb 28,NO,L 123-95,Reg,35:35:00,13,23,56.5,1,4,25,5,5,100,0,6,6,3,7,2,2,2,-22,32
Feb 26,LAC,L 105-102,Reg,35:41:00,6,18,33.3,2,8,25,7,8,87.5,1,10,11,3,6,1,1,1,-4,21
Feb 17,UTA,W 101-106,Reg,39:43:00,14,23,60.9,3,8,37.5,2,2,100,1,7,8,6,3,2,0,1,7,33
Feb 13,@GS,L 115-117,Reg,38:21:00,9,27,33.3,3,10,30,5,9,55.6,3,12,15,8,4,0,0,3,-11,26
Feb 10,@POR,L 105-107,Reg,36:41:00,13,22,59.1,3,7,42.9,1,1,100,0,7,7,7,6,3,0,1,-5,30
Feb 9,MIL,L 131-116,Reg,34:31:00,11,19,57.9,3,7,42.9,2,4,50,0,5,5,8,4,0,0,4,-25,27
Feb 6,NY,W 115-122,Reg,39:55:00,13,24,54.2,2,7,28.6,1,2,50,3,10,13,10,3,1,0,3,12,29
Jan 26,@BKN,W 106-96,Reg,34:27:00,14,21,66.7,2,8,25,3,3,100,0,7,7,6,0,3,2,1,10,33
Jan 24,@MIA,L 107-113,Reg,39:52:00,12,22,54.5,1,8,12.5,8,11,72.7,2,9,11,4,3,2,0,4,-8,33
Jan 22,@ORL,W 116-105,Reg,33:36:00,12,23,52.2,2,7,28.6,3,3,100,1,6,7,5,6,1,1,3,5,29
Jan 20,IND,L 111-104,Reg,37:24:00,11,22,50,3,7,42.9,5,7,71.4,1,11,12,5,3,2,0,1,-20,30
Jan 18,UTA,W 95-101,Reg,37:17:00,9,20,45,3,8,37.5,4,8,50,0,7,7,7,1,1,1,1,11,25
Jan 16,@DEN,L 96-133,Reg,30:42:00,9,23,39.1,2,8,25,5,7,71.4,1,8,9,2,1,0,2,0,-17,25
Jan 13,@SAC,L 116-125,Reg,38:56:00,13,29,44.8,3,12,25,5,10,50,1,6,7,6,1,0,1,2,-12,34
Jan 10,MEM,L 127-119,Reg,33:22:00,14,19,73.7,3,4,75,4,4,100,6,3,9,7,3,0,0,4,-30,35
Jan 8,ATL,W 118-134,Reg,36:30:00,13,24,54.2,1,6,16.7,5,5,100,1,7,8,9,4,4,3,4,4,32
Jan 5,SAC,W 114-122,Reg,36:29:00,12,26,46.2,3,10,30,4,5,80,2,3,5,5,2,0,1,3,3,31
Jan 3,MIN,W 103-108,Reg,39:13:00,7,15,46.7,3,9,33.3,9,12,75,0,7,7,5,1,3,1,2,9,26
Jan 1,POR,W 106-139,Reg,29:18:00,16,26,61.5,5,10,50,6,9,66.7,2,12,14,4,0,2,2,1,18,43
Dec 30,@MEM,L 99-104,Reg,37:57:00,13,25,52,8,14,57.1,3,3,100,2,11,13,7,5,2,2,1,0,37
Dec 29,@HOU,W 132-123,Reg,39:27:00,11,19,57.9,3,5,60,7,9,77.8,4,6,10,11,3,1,2,3,6,32
Dec 26,BKN,L 122-115,Reg,39:53:00,14,25,56,3,9,33.3,8,9,88.9,1,8,9,7,3,3,1,2,9,39
Dec 24,SA,L 138-110,Reg,34:40:00,15,26,57.7,2,7,28.6,4,6,66.7,2,7,9,6,3,1,2,2,-23,36
Dec 22,PHO,L 108-90,Reg,34:00:00,13,19,68.4,2,5,40,6,6,100,0,7,7,2,2,2,0,1,0,34
Dec 20,@CHI,L 110-115,Reg,39:24:00,11,21,52.4,1,7,14.3,8,11,72.7,1,13,14,6,4,1,2,5,-1,31
Dec 18,@MIN,L 92-110,Reg,35:30:00,5,13,38.5,2,6,33.3,6,8,75,1,9,10,5,4,1,2,5,-11,18
Dec 16,@DAL,W 107-104,Reg,42:58:00,9,19,47.4,4,9,44.4,2,3,66.7,0,3,3,5,2,1,0,1,-6,24
Dec 13,ORL,W 94-106,Reg,37:11:00,12,20,60,3,7,42.9,3,4,75,1,10,11,10,6,0,3,2,14,30
Dec 11,@OKC,W 116-95,Reg,34:41:00,13,20,65,4,6,66.7,3,4,75,0,5,5,6,2,3,2,2,19,33
Dec 10,@MEM,L 95-108,Reg,37:24:00,7,15,46.7,1,6,16.7,5,5,100,0,10,10,11,5,4,2,1,2,20
Dec 8,BOS,W 102-117,Reg,36:16:00,13,19,68.4,2,5,40,2,2,100,2,2,4,5,3,0,0,2,18,30
Dec 4,LAC,L 119-115,Reg,36:15:00,9,23,39.1,2,8,25,3,5,60,3,8,11,6,3,2,0,2,-5,23
Nov 29,DET,W 106-110,Reg,37:24:00,12,20,60,4,9,44.4,5,8,62.5,0,5,5,9,2,2,1,1,14,33
